"","Rating","Review","lang"
"11",4,"We were in London for a long weekend filled with wedding events. We booked (2) lofted apartments for 6 people. While there wasn't much closet space, it was comfortable for the long weekend, and if there were less people in the rooms, it would be okay for long-term stay as well. Clean and friendly staff, and they're great about storing the luggage if you get in too early or are leaving to the airport later than your check-out time. It's a busy hotel though, so I wouldn't expect a late check-out. The location is Kensington, which is always a good bet. Right down the street from the Natural History Museum, Victoria and Albert Museum, Kensington High Street (shopping!), Kensington Gardens, Hyde Park, and Albert Music Hall. It's a short tube ride away from everything else as well. There are also two Sainsbury's in the area, and I'd suggest grabbing a few late night snacks and drinks! It was a pleasant stay in one of our favorite neighborhoods.","en"
"12",5,"Stayed here last night excellent rooms lovely friendly staff always waiting to speak to you help you amazing service and thank you to girl who kindly helped me with printing of my boarding pass this morning, she was so patient always smiling. She was a special person.","en"
"13",3,"Had a first floor room with frosted windows, no view at all so don't be taken in by all the glitzy photos on the website. Constant noise from the lift machinery throughout the night. No blackout curtains, poor nights' sleep. Good breakfast but staff too eager to remove used crockery & cutlery the moment I has finished.","en"
"14",5,"Why would you pay top hotel prices when you can stay here? The beds are amazing and there is a choice of pillows, I had the best nights sleep ever. The windows cut out the London noise and there is air con. All the staff we met were very friendly and so helpful. The restaurant was great for our evening meal (we had lots of snacks instead of a full meal) service was very quick. Will most definitely come here again for all future London trips.","en"
"15",3,"The location is great, but VERY touristy. Don't plan to get around in a rush on the weekends or evenings....there are tourists everywhere! But if you are a tourist - the location is great. Bar in the hotel is fun and there is a ton in the area. I stayed due to status with SPG. Which I didn't realize, but SPG messed up my status and so check in was terrible. No upgrade, no wifi, and of course they wouldn't believe me at the front desk (I'm a returning guest - check the file). No instead, I have to call myself to the US, and yes, error, status reinstated, but only after an hour of hassle. And this was at 11pm after a 13 hour workday. Not happy. Next 3 days in a row my key wouldn't work, so I'd have to go to the front desk to have it reset. BUT they would make me wait until someone was free, which one night was 20 minutes. Again, this was late at night (I was working long days while over there). I wrote an email mid stay (I was there for 6 nights), to which no one responded :( Room service - girl on the phone didn't know much about the menu. I ordered a soup and salad. Soup was mushroom, wasn't very good. And the salad was supposed to be the special with a ginger dressing. It was so spicy I couldn't eat it. Why wouldn't you tell me it's spicy? Ginger dressing doesn't say spicy to me?? I completed the online review they sent me when I got home and the manager wrote back offering to personally assist on my next stay. Well, that will probably be next year and new people will be there by then and your email will be long lost. Very disappointed with W on this trip, and SPG. Shame to treat a repeat guest like this, will be tough to go back. Oh, and in case you didn't see my previous review - bring earplugs, it's very loud outside, so if you are a light sleeper they are needed - especially on the weekend!","en"
"16",5,"The hotel room is set up with any kind of high tech and state of the art contraptions. As soon as you walk into the room you notice the creative work of solving problems needed to be fixed. The really ancient window which looks like it's going to break any second if a bird touched it with its wing is therefore so dirty that you barely can look outside. Not a problem since the view outside is rather obstructed with an old and run-down balcony. Not to mention the modern way the window's incapability of closing and opening it was fixed by a subtle paper bag that cracks the window open a couple inches resisting extreme weather conditions and not letting in any warmth during night. The moldy, off-coming plaster on the ceiling was professionally fixed with sellotape and nicely re-designed by letting some of it dangling. The color of the gum stuck on the floor leading to the bathroom indicates a high number of guests it probably brought domestic bless and the last deep-cleaning was done before some of us were even born. First impression of the bathroom was quite okay. The in-built in the wall shower head is ultra-flexible due to its lacking attachment and some loose screws (I recommend wearing a helmet in the near future using this shower). No doubt this hotel plays a leading role in the fight of global warming and environment protection! For the fact there's no hot or even lukewarm water guests shower less frequently and most of all much shorter. Who needs warm water to shower?! For those of you who like to clean their feet once in a while this hotel holds a special invention for you in store. If you got too cold feet to take a shower there's water leaking from a little hole on the outside of the toilet accumulating in front of the sink. This 'Eau de Toilette' presents a perfect way of keeping your feet fresh and 'clean'. If you're planning on staying with company, I recommend using the night as an opportunity to talk about everything under the sun since you won't be getting any sleep in this rather uncomfortable bed ( I got better sleep by spending the night on the bare floor). Or it's because of the mold spread all over the room.","en"
"17",4,"Stayed for one night. Check in was friendly and efficient. Was upgraded to a junior suite which was lovely and spacious. Hotel decor was lovely and bedrooms really different to any other hotel I've stayed in. Let down was one hour wait we had for breakfast as they had mislaid our order!","en"
"18",3,"We were there for 3 nights over a weekend in May. For the price we paid for the room, this hotel was a good deal. The hotel is in a very convenient location to the Paddington underground station which is practically next door to the hotel. And the Paddington train station to catch the express train to Heathrow is next door to the underground station. We had no problems rolling our big suitcase and ourselves to the train station. The hotel is also surrounded by local neighborhood eateries if you find yourself hungry after a long day out like we did one night. The hotel and room were clean and had what we needed - but space was very tight. Not a deal breaker for us since we didn't spend much time in our room. The elevator was broken when we were there so that was a bit of a hassle when we checked in and checked out with our bags. But the hotel was very apologetic about it. The breakfast that's included was surprisingly generous. It's served at the restaurant next/in the hotel. The restaurant staff seemed overwhelmed so don't plan for a quick breakfast unless you skip the hot foods. We would consider staying here again.","en"
"19",2,"I had read the reviews before I booked and was expecting the worst but all I needed was a hotel near to Paddington station for one night. The room was small, basic and the decor was a bit shabby but it was clean and the bed was comfortable. There was a small wardrobe, television, hairdryer and you could make tea and coffee. The bathroom’s decor was also a bit shabby but was clean and the shower was fine although the hot water had to be run for a couple of minutes to warm up. The staff were friendly and helpful. I didn’t eat breakfast as I wanted something more substantial so I can not comment on it. If you intend spending a lot of time in your hotel room this isn’t the hotel I would choose but if all you need is a bed and shower for the night then for under £50 in central London this hotel is ok.","en"
"20",5,"Stayed for one night this week. Service was excellent especially in the Polo bar. Location is perfect and the breakfast is great. Our room was very comfortable and when there was a problem with the electrics we were moved straight away to another (bigger) room","en"
"21",1,"It's four thirty am of night four of a seven night stay in London and once again I am wide awake. I am dreading the thought of another night in this hotel. If I hadn't prepaid, I would have left after night one. The rooms are not air conditioned and the constant noise thrum and whine of the lobby aircon, right below the window, is driving me mad. I thought about asking for a quieter room but I don't trust this hotel anymore and they'll probably move me somewhere worse. I'm never staying in an Ibis hotel again. My suggestion is that you stay somewhere else.","en"
"22",5,"Excellent hotel with very spacious rooms for London. Rooms are well equipped with everything one needs (iron, hairdryer, mini-bar, coffee/tea facilities, ...) Nice and friendly staff. Cosy ambiance in the bar and restaurants. Definitely a place to return to.","en"
"23",2,"This was my first experience for the latest London hotel euphemism for a really small room - a cabin. It was advertised as such and, with breakfast included, was a reasonable price (for London) at £75. The location is good - just 2 minutes walk from Goodge Street underground and very handy for the centre of London. The staff were friendly and helpful and the breakfast room was clean and the meal enjoyable with fast attentive service - but I was the first in and it might get a bit tighter for space later. Also a 7:30 start is a bit late for some of us business users. The public areas of the hotel appeared clean but a refurb wouldn't go amiss. The bedroom itself was the smallest I have been in with half of the single bed fitting exactly into a small alcove - the bed itself was quite comfortable. There is no chair, no rubbish bin, no kettle, no drinking glass or air conditioning provided. Bizarrely a thermos flask was placed by the bed but was half filled with cold water - strange! There was no plug in the sink and the pedestal for the wash basin protrudes in front of the toilet so you have to sit almost sideways! There was mould around the ceiling of the shower room and no air-conditioning. When the very small window was opened it let in a large amount of street noise. There was no bedside light switch. To turn out the bedroom light one has to go outside the bedroom door! For those with limited movement there are a lot of small windy stairs and no lift.","en"
"24",5,"very close to the tube (Northern line) and a variety of bus routes with lots of shops and restaurants close by. Easy access to a cinema, Sadlers Wells Theatre and Exmouth Market. Very tranquil setting - slightly difficult to find, but worth the effort!","en"
"25",4,"Great hotel, great staff. Good food. Huge room (room 3) with couch and two double beds not that I needed it as I was travelling solo. The room was booked by a company I was lecturing for and I think they paid £150 a night as they have an account with the hotel. I thought that this was good value for money.","en"
"26",5,"My wife and I stayed at the Double tree after getting a good deal on Agoda. We were impressed on it's location, a stones throw from Tower Hill underground station (2-4mins max walk) and views of Tower Bridge and The Tower of London, depending on room. A quiet area of town on the weekends which makes it nice to get away from the crowds of Trafalgar Sq and Oxford street areas. The welcome and staff on reception were friendly and were always there if you had any problems. The rooms were clean and spacious and better still had free wi-fi and a computer (iMac) for your use, which doubled up as TV and DVD player. Being a mac-addict this made the room awesome! The complimentary mini-bar (not available in all rooms I believe) had a nice selection though you do need to ask if you want more than what was in there. Would definitely use the hotel again if I can get a similar deal.","en"
"27",4,"a small cute hotel. Very good reach brakefast. Wi-Fi worked most of the time. a clean place with hot waters in the shower. Close to paddington station just a 5 minutes walk. Just a great place. Only problem was that there just weren't enough AC plugs in the room. We personally have lived on the 4th floor without an elevator so just take that into acount.","en"
"28",5,"I don't recommend this hotel. Even if we booked a deluxe room, the room is very too small, no bathroom only a very small shower room, you can't be 2 people in the this shower room even with a child, (as I was with my daughter). The beds are too small even if we are small in stature.. and the mattress too old... unacceptable. And when it is breakfast time, you have to wait more than 15 min and do the queue before having a table, as ""guests"" from outside can have breakfast also and you do not have any priority. Breakfast buffet was empty... Again unacceptable. The best advice: don't go ! First time and last time for us.","en"
"29",5,"I was upgraded to an executive suite for the week and while small, the room was very comfortable. The suite section is across from the main hotel and is located on multiple floors, but through multiple buildings, which can get a bit confusing! Shower and amenities were quality, loved having a tea maker and biscuits daily. Very convenient to Paddington station -- just a 10 minute walk. Many small convenience stores for breakfast and lunch fare.","en"
"30",3,"We arrived after having booked on late rooms.com some 3 months previously. I received an email from late rooms the day before confirming our booking. When we arrived at the hotel and they had no record of our booking (even though I had rung and booked a parking space weeks before and confirmed the day before). The receptionist spent ages checking the computer and files of paperwork for our booking for about 10 minutes until I asked if they even had rooms for that night. Luckily they had and honoured the original price quoted. Then I enquiries as to where I would park I was told that I would have to squeeze my car on the end of the road. There was no was I could fit my small hatchback in that space so went back in and was informed we would have to go to a nearby church and use their parking facilities. Luckily they had room but it cost us £30 for 24hours, double the cost at the hotel. We were given directions to our room and upon entry were pleasantly surprised by it. Average size room but it had plenty of storage, lovely big bathroom with a huge modern walk in shower with rainfall head. Comfortable beds with plenty of bedding. My only qualms with the room were no double glazing and the hotel is on a busy road, and also no milk just whitener for hot drinks. Minor things which didn't effect our stay too much! Breakfast was a bit on the basic side with cheap ingredients reheated to order. The staff were very friendly though. To conclude then, an average experience but I would stay here again and it was cheap compared to other hotels in the area and only 5 minute walk to Paddington Station which meant 20mins to Central London.","en"
"31",5,"The staff were so helpful and friendly, talkative without being over-friendly - very well judged. The room was lovely, with a firm but comfortable bed, and a clean well-equipped bathroom. Good to have free water/coffee in the lounge, although we missed being able to make drinks in the room. The location was perfect for us, and surprisingly quiet at night. I like the way that the renovations preserve the original features of this Victorian building - I personally would like a bit more information about the history of the building and the area (I discovered for myself that the name comes from the Gore Estate). Breakfast was superb - several choices of muesli (including gluten-free), lots of fresh fruit and freshly-squeezed juices. When we checked out it was raining very hard - the girl on the desk kindly lent us an umbrella so that we could walk out to meet friends.","en"
"32",4,"We had booked this hotel as we had tickets to see a band on the Saturday night at the O2 arena. It was a decent price (£75 approx) and included free parking and breakfast. Room was more than adequate, very clean with a decent loo / shower. All staff we met were friendly & helpful. Secure parking was available behind the hotel with an automatic gate - so we were happy to leave the car. 10 min walk to the tube station and then 15 mins on the tube straight to the O2. Area felt very safe to walk around - although on the Saturday night (at around midnight / 1 am) we got a taxi from the station back to the hotel which cost £6 - I'm sure it would have been fine to walk though. Breakfast was fine - not spectacular, but good coffee, loads of toast / cereal available etc. Staff were also happy for us to leave the car there for most of the Sunday as we went off sightseeing (Kew Gardens). We only collected the car at about 6pm on the Sunday, even though we had checked out on the Sunday morning. Really can't complain - very well priced clean and friendly hotel in a great location. Would def use again.","en"
"33",5,"Haven't stayed in a Premier Inn before, but if they're all this good I'd be pleasantly suprised. Very friendly staff, spotlessly clean rooms, brand new bathrooms. The location is perfect for any City business or sightseeing around the Tower and Bridge. As my husband said 'it is what it is, and it's very good at it!' Only thing I would say is I wish we'd stayed in the hotel to eat. Obviously there's not much in the vicinity that's open on the weekend and we ended up having some pretty atrocious meals in either the wetherspoons across the way or the other pub up the road, The Minories. It was marathon weekend, so it may be this isn't indicative of the food usually. Based on the great breakfasts we had in the hotel, I would much rather have stayed in and eaten!","en"
"34",5,"My husband and I stayed at The Capital the last week in November, 2012. We usually go to London every November and have walked past The Capital many times and finally decided to stay there. It was a wonderful experience. The room was a classic room, small but very cozy and comfortable. The staff at The Capital are really what made our visit so much more enjoyable - efficient, helpful, friendly. The breakfast had a great selection. We ate dinner in the restaurant, Outlaw's, and it was a great dining experience as well. Once again the food and the service were good. This will be our hotel of choice from now on.","en"
"35",4,"My brother and I spent several days in London and were pleased with this hotel. It is not far from the Tower of London and the Tower Hill station, though can be a little hard to find. The twin room was small but clean and quiet. The staff were very professional -- knowledgeable, courteous and helpful. We were able to take advantage of discounted prices that resulted in the rates being quite reasonable. BNased upon our experience, I would definitely stay at a Premier Inn again.","en"
"36",5,"I thoroughly enjoyed my recent stay at this iconic London hotel. Normally I stay at the Ritz in Piccadilly, but friends suggested that I needed to try something different to broaden my London experience. I had watched the wonderful documentary series Inside Claridges previously and felt that the hotel would be a good fit, what with my love of Art Deco and penchant for history. To ensure that I made the most of my stay I conducted considerable research on the hotel. This included learning about potential pitfalls of individual rooms on this site and reading countless reviews across the net. I then made a number of requests to the reservations' team upon booking. On arrival I was greeted by one of the managers who escorted me to check in and completed all the necessary procedures. I was offered a tour of the hotel which I really appreciated since it was my first visit. This really helped me to get a sense of where things were for my four night stay. Not all hotel staff will do this, but at Claridges staff never hesitated to offer their assistance and often anticipated when assistance was needed. One morning as I exited the hotel doors I looked up to see clouds gathering. The doorman, noticing this, instinctively offered me an umbrella. It was a good quality umbrella too - not always something found even at top hotels. It came in very handy that day too! I booked a deluxe room for a four night stay. After being escorted to my room I was given a tour of all the amenities, including how to operate the Japanese toilet in the bathroom. The room was renovated and very clean. Just as I had requested at booking, a book about the hotel's history was positioned on the bed in Claridges ribbon. The room had also been set to the requested temperature. A true measure of good service, I was asked by the manager before he left whether I was satisfied with the room and if not, whether I wanted to see some alternatives. With everything so perfectly arranged as desired, I did not need to see anything else. The room was very spacious, with a decent sized walk in wardrobe. The bathroom had a separate shower and soaking tub, which filled up quite quickly (I normally eschew baths because they take so long to fill). The chairs were comfortable and the electronics were all contemporary and in fine working order. I really couldn't have asked for more. I made use of the in room dining and had breakfast in the lobby one morning. The food was excellent. Usually hotels don't do food very well, but the chefs at Claridges are true craftsmen. I highly recommend their chicken pot pie - it was one of the best meals I have ever had! It was also wonderful to find a hotel that makes an excellent cappacino outside of Italy and Australia. While I had every intention of using the gym, I never got around to it since I walked a lot about London. That said, there was always a row of taxis outside the hotel and Bond Street tube station was a very short walk away. On coming and going from the hotel, staff always said hello. I was impressed when I came across the manager who checked me in and he remembered my name several days' later when I ran into him in the lobby. Had I been travelling with people I would certainly have tried the bars at the hotel. They are very beautiful places. Every part of the hotel was charming and judging by the work teams in various locations during my stay (always discreet), Claridges is always being kept up to standard. I can only imagine the difficulties in maintaining such a grand old building! So credit to the maintenance staff for their professionalism and fine work. If there was one thing that stood out for me as an ultimate point during my stay it would have to be the amazing scent that wafts through the grand lobby. I can still smell it in my mind as I write. There is something comforting about it - walking into the hotel I was completely removed from the hustle and bustle of London outside. It's a wonderful feeling. I will definitely be returning to Claridges in the future. I do love the Ritz, but I love Claridges more. It lives up to its hype, which is so rare in the hotel industry. Yes, it is expensive, but you do get what you pay for - at least I think so. While the building and it's rooms are exquisite, it is ultimately the staff who give Claridges it's five stars. Thank you to those seen and unseen who made my short London stay a very memorable one.","en"
"37",4,"We spent 2 nights in a superior room and found it great value for a huge room.Will make this my hotel of choice in London from now on.","en"
"38",5,"We have stayed here 3 times now and again were not disappointed on our last stay at the weekend. We had a room over looking the middle of the hotel so not a great view but it was quite apart for the air-con units which you do get used to. It is a dated hotel but very nice, we choose not to include breakfast because of the amount of local cafes offering a great breakfast choice at very reasonable prices. A 5 minute walk and you are on Oxford Street and 5 minutes later in Soho,Theatre Land and China Town. Everything you need is almost on the door step it is also only a 15minute walk from Euston or Goodge Street Underground station is just around the corner. There is also a massive array of Restaurants within 250 yard radius of the hotel I guess you could eat every day for a year at a different restaurant.","en"
"39",5,"Well, what can you say about a 5* hotel in London that what could be expected! It was very comfortable, luxourious and everything was of highest standards. The staff were welcoming, pleasant and helpful and the room was well made up, clean and very comfortable. We didn't partake in the spa facilities but they looked great, or didn't have the breakfast. It was £15/person which I couldn't justify when there's a JD Wetherspoon next door which did an excellent Eggs Benedict & Coffee for £4.59!! Stayed here though a last minute deal, and was a wonderful stay!","en"
"40",1,"The noise from outside the hotel is very loud. There's a motorway/dual carriageway right outside. The room didn't have AC. Bathroom smelt of urine and pillows smelt very bad too. Small TV was not a pleasant stay.","en"
"41",4,"Great hotel, Great location, easy access to tube station. Lovely hotel, with helpful staff","en"
"42",5,"amazing location delicious food.A very warm and comfortable stay.the staff is very helpful and excellent service.sanya and her team was very good.breakfast was amazing.rooms are spacious and the hotel is very neat and clean.i was there for two days and i will definitely come back.hotel has many attractions nearby and is in the heart of the town.5 stars","en"
"43",5,"Booked this hotel for my husbands birthday. Called & spoke to David who was extremely helpful & advised me to complete my booking online as there was an offer to sign up for Free breakfast, which I did. I then called David back to arrange a room in a quite location(found this tip on here under room tips) & mentioned it was for my husband birthday & he offered me the choice of a complimentary bottle of wine or cake, nice touch. When we arrived to check in, which was around 11.30am we were told our room was actually ready. Well what can I say, room 213 was perfect. Albeit over looking a chimney which had scaffolding round it but most importantly very quite & to be far that didn't bother us as we were in London. As I had booked an executive room we had access to the executive lounge which was just round the cornor from our room. We popped in for some coffee & danishes before heading out for the day. Complimentry happy hour was from 5pm to 9pm so we called in for a few drinks & canapés before heading out for the evening. Next day we went downstairs for full English breakfast, there was plenty of choice & the food was good. You could have had a continental breakfast in the executive lounge if you wanted to. Had a lovely day in London as the weather was dry. In the evening we went to see Wicked which was brilliant! Used the rear door from Victoria Train station which was very handy. Lovely traditional hotel with lots of character, which has been renovated to a high standard, we would definitely stay here again. Thank you for the bottle of wine & a very enjoyable stay.","en"
"44",5,"We booked the hotel few weeks ago. spoken with Monica in advance that we need a nice room as it was our special occasion. When we arrived at the hotel the receptionist from the desk told us that we were upgraded to a Club room !! . ' After we entered the room we were very impressed... Monica left a nice card on the bed for us and complimentary whine , fruits, flowers and chocolates and more then that! a late check out till 1.00pm was allowed by the duty manager Gahan. our last request was to leave the luggage at reception and Gahan allowed again to store our bags till late in the evening ;0 The room was nice and clean facing the street , quiet in the night. Place is fabulous as was really near to central London , underground station and busses. Thanks to all staff for treating us nicely and made our stay enjoyable !","en"
"45",5,"Stayed here for two nights during the week when in London on business. Very posh and luxurious feel. Room was a standard double and on the small side, but still very comfy. Brekkie was expensive at £15, evening meals less so with loads on room service menu under £20 even with tray charge. Overall very good.","en"
"46",5,"Great location, friendly and helpful staff, incredibly easy check-in and out. Fixtures and fittings were brilliant, rooms well-equipped and very comfortable. What else do you need?! Will definitely be going back.","en"
"47",4,"Great location, not even 5 min walk from Kings Cross Station. At the bottom of a quiet street. Reception and check in was easy, was nice and clean/tidy in the reception area. A corridor with 5 seperate stairs dotted along the long corridor take you to different rooms. I was at the end using stairs 'E' the stairs are narrow and there is no lifts. If you have large baggage I'm sure you could ask for a room on the ground floor. I was on the second floor in a 'Small Double' the room was small as expected but cosy and clean. The bathroom was pretty tiny, the toilet is nearly in the shower. If you was wanting more space I would book a large room. But I had no issues and slept really well. The bed was very comfy with plenty of pillows. The room was a bit warm so I did have the window open, there wasn't really any street noise to keep me awake. The free wifi worked well for me. I would stay here again.","en"
"48",4,"Even though Ive read the reviews on the tripadvisor I thought to give it a go due to the good location of the hotel. We made the reservation trough agoda.com and specially requested to have an upper floor with street view. On arrival the rude woman from reception gave us a room in the basement which made us really angry so we had to complain to agoda who contacted the hotel and made sure the next day we will have an upper floor room. The basement rooms shouldn't even exist as they look like u're in the prison, very small and no sunlight, dirty and damp. I will be back with update tomorrow whether we will get the promissed room or not....","en"
"49",4,"Staff are very friendly from the moment you enter to when you leave. Rooms are very clean and large. Food inside the hotel is very good quality food. Happy hour is good 5-7. The breakfast in the morning is eat all you can. Good quality.","en"
"50",4,"We recently made a trip to London with 6 kids and stayed here...it was absolutely wonderful...perfect location, the staff were all extremely friendly and helpful...I didnt meet one hotel employee in the hallway who didnt speak and smile. It was a GREAT experience for our first time in London. We had 4 rooms and every single one of us felt like we had enough room and our rooms were nice...my husband had stayed in London earlier in the year and had a terrible experience and a room the size of a small closet. I know there are derogatory comments on here about this hotel...but take it from me, dont listen to them...I have stayed in Ritz Carltons, Westins, etc. and I was very happy here. Again, the location was perfect for seeing all the sights of London!! If you want a nice place, a good location and a caring staff, this is the place for you...I was so worried because of some of the reviews on here, but it turned out so great...I'm thinking these people had a terrible personal experience because THEY made it one!! Enjoy your trip and STAY HERE, YOU WONT BE SORRY!!","en"
"51",4,"My expectations were more than matched by this one night stay. Rather unusually I booked dinned and breakfast in the hotel due to time constraints. Both experiences were very good. I would certainly stay there again...","en"
